Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T06:10:43Z,0.01,0.02
2018-03-26T06:10:53Z,0.01,0.04
2018-03-26T06:11:03Z,0.01,0.01
2018-03-26T06:11:13Z,0.01,0.04
2018-03-26T06:11:23Z,0.07,0.16
2018-03-26T06:11:34Z,0.04,0.05
2018-03-26T06:11:44Z,0.01,0.02
2018-03-26T06:11:54Z,0.01,0.04
2018-03-26T06:12:04Z,0.01,0.04
2018-03-26T06:12:14Z,0.01,0.02
2018-03-26T06:12:24Z,0.01,0.04
2018-03-26T06:12:34Z,0.01,0.04
2018-03-26T06:12:44Z,0.01,0.03
2018-03-26T06:12:54Z,0.01,0.03
2018-03-26T06:13:04Z,0.01,0.04
2018-03-26T06:13:14Z,0.01,0.04
2018-03-26T06:13:24Z,0.03,0.02
2018-03-26T06:13:35Z,0.01,0.02
2018-03-26T06:13:45Z,0.01,0.03
2018-03-26T06:13:55Z,0.02,0.03
2018-03-26T06:14:05Z,0.01,0.02
2018-03-26T06:14:15Z,0.01,0.03
2018-03-26T06:14:25Z,0.01,0.04
2018-03-26T06:14:35Z,0.01,0.06
2018-03-26T06:14:45Z,0.01,0.02
2018-03-26T06:14:55Z,0.01,0.01
2018-03-26T06:15:05Z,0.01,0.02
2018-03-26T06:15:15Z,0.01,0.02
2018-03-26T06:15:25Z,0.01,0.02
2018-03-26T06:15:35Z,0.01,0.01
2018-03-26T06:15:45Z,0.01,0.02
2018-03-26T06:15:55Z,0.01,0.04
2018-03-26T06:16:05Z,0.01,0.02
2018-03-26T06:16:15Z,0.01,0.05
2018-03-26T06:16:26Z,0.02,0.05
2018-03-26T06:16:36Z,0.02,0.02
2018-03-26T06:16:46Z,0.01,0.04
2018-03-26T06:16:56Z,0.02,0.01
2018-03-26T06:17:06Z,0.01,0.04
2018-03-26T06:17:16Z,0.02,0.03
2018-03-26T06:17:26Z,0.01,0.01
2018-03-26T06:17:36Z,0.01,0.03
2018-03-26T06:17:46Z,0.01,0.02
2018-03-26T06:17:56Z,0.01,0.02
2018-03-26T06:18:06Z,0.01,0.04
2018-03-26T06:18:16Z,0.01,0.01
2018-03-26T06:18:26Z,0.02,0.04
2018-03-26T06:18:36Z,0.02,0.03
2018-03-26T06:18:46Z,0.02,0.04
2018-03-26T06:18:57Z,0.01,0.03
2018-03-26T06:19:07Z,0.02,0.14
2018-03-26T06:19:17Z,0.04,0.05
2018-03-26T06:19:27Z,0.02,0.02
2018-03-26T06:19:37Z,0.02,0.02
2018-03-26T06:19:47Z,0.01,0.04
2018-03-26T06:19:57Z,0.01,0.04
2018-03-26T06:20:07Z,0.01,0.04
2018-03-26T06:20:17Z,0.02,0.03
2018-03-26T06:20:27Z,0.02,0.01
2018-03-26T06:20:37Z,0.01,0.01
2018-03-26T06:20:47Z,0.01,0.04
2018-03-26T06:20:57Z,0.02,0.04
2018-03-26T06:21:08Z,0.01,0.03
2018-03-26T06:21:18Z,0.01,0.26
2018-03-26T06:21:28Z,0.02,0.04
2018-03-26T06:21:38Z,0.02,0.03
2018-03-26T06:21:48Z,0.01,0.03
2018-03-26T06:21:58Z,0.01,0.03
2018-03-26T06:22:08Z,0.01,0.03
2018-03-26T06:22:18Z,0.01,0.05
2018-03-26T06:22:28Z,1.07,0.04
2018-03-26T06:22:39Z,0.01,0.02
2018-03-26T06:22:50Z,0.01,0.02
2018-03-26T06:23:00Z,0.02,0.03
2018-03-26T06:23:10Z,0.10,0.02
2018-03-26T06:23:20Z,0.01,0.01
2018-03-26T06:23:30Z,0.01,0.02
2018-03-26T06:23:40Z,0.01,0.02
2018-03-26T06:23:50Z,0.01,0.03
2018-03-26T06:24:00Z,0.02,0.04
2018-03-26T06:24:10Z,0.01,0.03
2018-03-26T06:24:20Z,0.02,0.03
2018-03-26T06:24:30Z,0.01,0.04
2018-03-26T06:24:40Z,0.01,0.02
2018-03-26T06:24:50Z,0.01,0.03
2018-03-26T06:25:00Z,0.03,0.03
2018-03-26T06:25:10Z,0.01,0.02
2018-03-26T06:25:21Z,0.01,0.03
2018-03-26T06:25:31Z,0.01,0.09
2018-03-26T06:25:41Z,0.01,0.03
2018-03-26T06:25:51Z,0.01,0.04
2018-03-26T06:26:01Z,0.01,0.04
2018-03-26T06:26:11Z,0.01,0.02
2018-03-26T06:26:21Z,0.01,0.05
2018-03-26T06:26:31Z,0.01,0.03
2018-03-26T06:26:41Z,0.03,0.04
2018-03-26T06:26:51Z,0.01,0.02
2018-03-26T06:27:01Z,0.02,0.02
2018-03-26T06:27:11Z,0.02,0.04
2018-03-26T06:27:21Z,0.01,0.02
2018-03-26T06:27:32Z,0.01,0.02
2018-03-26T06:27:42Z,0.01,0.03
2018-03-26T06:27:52Z,0.01,0.03
2018-03-26T06:28:02Z,0.02,0.02
2018-03-26T06:28:12Z,0.02,0.03
2018-03-26T06:28:22Z,0.01,0.04
2018-03-26T06:28:32Z,0.00,0.01
2018-03-26T06:28:42Z,0.01,0.01
2018-03-26T06:28:52Z,0.01,0.03
2018-03-26T06:29:02Z,0.02,0.03
2018-03-26T06:29:12Z,0.01,0.03
2018-03-26T06:29:22Z,0.01,0.03
2018-03-26T06:29:32Z,0.01,0.03
2018-03-26T06:29:42Z,0.01,0.07
2018-03-26T06:29:52Z,0.01,0.02
2018-03-26T06:30:02Z,0.02,0.04
2018-03-26T06:30:12Z,0.01,0.03
2018-03-26T06:30:23Z,0.03,0.05
2018-03-26T06:30:33Z,0.01,0.02
2018-03-26T06:30:43Z,0.02,0.04
2018-03-26T06:30:53Z,0.02,0.04
2018-03-26T06:31:03Z,0.02,0.05
2018-03-26T06:31:13Z,0.01,0.02
2018-03-26T06:31:23Z,0.04,0.03
2018-03-26T06:31:33Z,0.01,0.03
2018-03-26T06:31:43Z,0.01,0.07
2018-03-26T06:31:53Z,0.01,0.01
2018-03-26T06:32:03Z,0.01,0.02
2018-03-26T06:32:13Z,0.01,0.02
2018-03-26T06:32:23Z,0.01,0.05
2018-03-26T06:32:33Z,0.01,0.03
2018-03-26T06:32:44Z,0.01,0.02
2018-03-26T06:32:54Z,0.01,0.02
2018-03-26T06:33:04Z,0.01,0.03
2018-03-26T06:33:14Z,0.03,0.04
2018-03-26T06:33:24Z,0.01,0.03
2018-03-26T06:33:34Z,0.04,0.03
2018-03-26T06:33:44Z,0.01,0.03
2018-03-26T06:33:54Z,0.02,0.03
2018-03-26T06:34:04Z,0.01,0.04
2018-03-26T06:34:14Z,0.01,0.02
2018-03-26T06:34:24Z,0.01,0.02
2018-03-26T06:34:34Z,0.01,0.04
2018-03-26T06:34:44Z,0.01,0.04
2018-03-26T06:34:54Z,0.01,0.04
2018-03-26T06:35:04Z,0.01,0.04
2018-03-26T06:35:15Z,0.01,0.04
2018-03-26T06:35:25Z,0.01,0.01
2018-03-26T06:35:35Z,0.01,0.02
2018-03-26T06:35:45Z,0.01,0.01
2018-03-26T06:35:55Z,0.01,0.03
2018-03-26T06:36:05Z,0.01,0.01
2018-03-26T06:36:15Z,0.01,0.02
2018-03-26T06:36:25Z,0.01,0.03
2018-03-26T06:36:35Z,0.01,0.04
2018-03-26T06:36:45Z,0.01,0.03
2018-03-26T06:36:55Z,0.01,0.04
2018-03-26T06:37:05Z,0.02,0.02
2018-03-26T06:37:15Z,0.01,0.02
2018-03-26T06:37:25Z,0.01,0.04
2018-03-26T06:37:35Z,0.01,0.02
2018-03-26T06:37:45Z,0.01,0.02
2018-03-26T06:37:55Z,0.01,0.07
2018-03-26T06:38:06Z,0.01,0.02
2018-03-26T06:38:16Z,0.01,0.03
2018-03-26T06:38:26Z,0.01,0.03
2018-03-26T06:38:36Z,0.01,0.10
2018-03-26T06:38:46Z,0.01,0.03
2018-03-26T06:38:56Z,0.02,0.04
