Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T04:01:43Z,0.01,0.05
2018-03-26T04:01:53Z,0.01,5.53
2018-03-26T04:02:08Z,0.01,5.53
2018-03-26T04:02:24Z,0.01,0.02
2018-03-26T04:02:34Z,0.02,0.04
2018-03-26T04:02:44Z,0.01,0.03
2018-03-26T04:02:54Z,0.01,0.02
2018-03-26T04:03:04Z,0.01,0.02
2018-03-26T04:03:14Z,0.01,0.07
2018-03-26T04:03:24Z,0.01,0.03
2018-03-26T04:03:34Z,0.02,0.02
2018-03-26T04:03:44Z,0.01,1.52
2018-03-26T04:03:56Z,0.01,0.03
2018-03-26T04:04:06Z,0.01,0.04
2018-03-26T04:04:16Z,0.01,0.27
2018-03-26T04:04:26Z,0.01,0.02
2018-03-26T04:04:37Z,0.01,0.02
2018-03-26T04:04:47Z,0.01,0.03
2018-03-26T04:04:57Z,0.01,0.03
2018-03-26T04:05:07Z,0.01,0.04
2018-03-26T04:05:17Z,0.01,0.03
2018-03-26T04:05:27Z,0.01,0.02
2018-03-26T04:05:37Z,0.01,0.02
2018-03-26T04:05:47Z,0.01,0.02
2018-03-26T04:05:57Z,0.01,0.02
2018-03-26T04:06:07Z,0.01,0.02
2018-03-26T04:06:17Z,0.01,0.02
2018-03-26T04:06:27Z,0.07,5.53
2018-03-26T04:06:43Z,0.01,0.03
2018-03-26T04:06:53Z,0.03,0.02
2018-03-26T04:07:03Z,0.01,0.02
2018-03-26T04:07:13Z,0.01,5.52
2018-03-26T04:07:29Z,0.01,0.04
2018-03-26T04:07:39Z,0.01,0.02
2018-03-26T04:07:49Z,0.01,5.53
2018-03-26T04:08:04Z,0.01,0.03
2018-03-26T04:08:14Z,0.02,5.53
2018-03-26T04:08:30Z,0.01,0.03
2018-03-26T04:08:40Z,0.01,5.53
2018-03-26T04:08:55Z,0.01,0.03
2018-03-26T04:09:05Z,0.01,5.53
2018-03-26T04:09:21Z,0.01,0.02
2018-03-26T04:09:31Z,0.02,0.03
2018-03-26T04:09:41Z,0.01,0.02
2018-03-26T04:09:51Z,0.02,0.03
2018-03-26T04:10:01Z,0.01,0.02
2018-03-26T04:10:11Z,0.01,0.02
2018-03-26T04:10:21Z,0.01,5.54
2018-03-26T04:10:37Z,0.02,0.03
2018-03-26T04:10:47Z,0.01,0.04
2018-03-26T04:10:57Z,0.01,0.02
2018-03-26T04:11:07Z,0.01,5.53
2018-03-26T04:11:23Z,0.02,0.02
2018-03-26T04:11:33Z,0.01,5.53
2018-03-26T04:11:48Z,0.01,0.03
2018-03-26T04:11:58Z,0.02,5.55
2018-03-26T04:12:14Z,0.01,0.03
2018-03-26T04:12:24Z,0.01,0.03
2018-03-26T04:12:34Z,0.01,5.53
2018-03-26T04:12:50Z,0.01,0.03
2018-03-26T04:13:00Z,0.01,0.03
2018-03-26T04:13:10Z,0.02,0.03
2018-03-26T04:13:20Z,0.01,0.03
2018-03-26T04:13:30Z,0.01,0.08
2018-03-26T04:13:40Z,0.01,0.02
2018-03-26T04:13:50Z,0.01,0.02
2018-03-26T04:14:00Z,0.01,0.03
2018-03-26T04:14:10Z,0.02,0.02
2018-03-26T04:14:20Z,0.01,0.03
2018-03-26T04:14:30Z,0.01,0.02
2018-03-26T04:14:40Z,0.01,0.02
2018-03-26T04:14:50Z,0.01,0.02
2018-03-26T04:15:00Z,0.01,0.03
2018-03-26T04:15:11Z,0.02,0.26
2018-03-26T04:15:21Z,0.02,5.53
2018-03-26T04:15:36Z,0.01,0.27
2018-03-26T04:15:47Z,0.01,0.03
2018-03-26T04:15:57Z,0.08,0.02
2018-03-26T04:16:07Z,0.01,5.53
2018-03-26T04:16:22Z,0.01,0.02
2018-03-26T04:16:32Z,0.01,5.53
2018-03-26T04:16:48Z,0.01,5.53
2018-03-26T04:17:04Z,0.01,0.02
2018-03-26T04:17:14Z,0.01,0.03
2018-03-26T04:17:24Z,0.01,0.04
2018-03-26T04:17:34Z,0.02,0.01
2018-03-26T04:17:44Z,0.01,0.02
2018-03-26T04:17:54Z,0.01,5.52
2018-03-26T04:18:09Z,0.01,0.03
2018-03-26T04:18:20Z,0.01,5.53
2018-03-26T04:18:35Z,0.01,0.27
2018-03-26T04:18:45Z,0.01,5.53
2018-03-26T04:19:01Z,0.02,0.26
2018-03-26T04:19:11Z,0.01,0.03
2018-03-26T04:19:21Z,0.01,0.01
2018-03-26T04:19:31Z,0.01,0.02
2018-03-26T04:19:41Z,0.01,0.03
2018-03-26T04:19:51Z,0.01,0.04
2018-03-26T04:20:02Z,0.01,0.02
2018-03-26T04:20:12Z,0.01,0.02
